objID,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,dered_u,dered_g,dered_r,dered_i,dered_z
1237652901818597593,21.72709,19.27239,17.71747,17.17391,16.82778,21.57335,19.15927,17.63543,17.1117,16.78367
1237656971302208097,21.73927,21.40446,21.08317,20.75603,21.03008,21.58171,21.28853,20.99909,20.69227,20.98488
1237657069548601421,20.04924,19.04398,18.42653,17.9653,17.7821,19.86912,18.91145,18.33041,17.89242,17.73042
1237657070088028750,23.04873,21.46291,20.82168,20.53255,20.50964,22.86967,21.33116,20.72612,20.46009,20.45826
1237657070088356231,22.39157,20.69846,19.41843,18.89559,18.51925,22.21445,20.56814,19.32391,18.82392,18.46843
1237657070089994814,23.05513,22.1451,21.16732,20.90134,20.54308,22.92771,22.05135,21.09932,20.84978,20.50652
1237657070620574235,21.53265,20.70499,19.52281,19.16209,18.90295,21.36392,20.58084,19.43277,19.09381,18.85454
1237657070628831527,21.10005,20.21451,19.70109,19.47744,19.21943,20.8024,19.99549,19.54224,19.35699,19.13403
1237657070628962633,22.0433,21.73853,20.71698,20.43423,19.88966,21.69197,21.48002,20.52949,20.29206,19.78886
1237657071157904062,23.50701,21.17726,19.70922,19.17595,18.87815,23.30239,21.0267,19.60001,19.09315,18.81945
1237657071159410861,20.6544,19.86473,19.23487,18.91391,18.66257,20.48855,19.74269,19.14636,18.8468,18.61499
1237657071693922405,20.27034,18.78104,17.93666,17.51885,17.22251,20.15029,18.69271,17.87259,17.47028,17.18807
1237657071698378971,22.25877,20.80673,19.62663,19.1466,18.81255,22.10502,20.6936,19.54458,19.08438,18.76844
1237657071698707180,25.17072,22.11238,20.57372,19.99004,19.6581,25.02158,22.00264,20.49413,19.92969,19.6153
1237657189832851840,23.13761,21.2374,19.72687,19.16844,18.80753,22.84014,21.01853,19.56812,19.04807,18.72219
1237657189833834854,21.54143,19.67085,18.46008,17.9778,17.62057,21.41055,19.57455,18.39024,17.92484,17.58301
1237657189834621269,23.53515,21.91093,21.44183,21.07312,20.87205,23.43529,21.83745,21.38854,21.03271,20.84339
1237657189836653060,22.35571,21.03864,20.48249,19.99545,19.91022,22.24655,20.95832,20.42424,19.95127,19.8789
1237657189836980444,21.33351,19.5355,18.42222,17.95439,17.60817,21.1075,19.36921,18.30161,17.86293,17.54333
1237657189836981033,21.9792,22.37274,21.73184,21.28086,20.57654,21.75732,22.20948,21.61343,21.19108,20.51288
1237657190370836561,19.12206,17.79756,17.11168,16.74588,16.50164,18.99603,17.70483,17.04442,16.69489,16.46548
1237657190370967737,19.74831,18.55722,17.97724,17.63603,17.47481,19.61974,18.46262,17.90863,17.584,17.43792
1237657190371230145,21.4908,21.01563,20.34714,19.88358,20.10616,21.38621,20.93868,20.29133,19.84126,20.07615
1237657190371295670,20.96376,19.98961,19.55942,19.33301,19.25434,20.86116,19.91413,19.50467,19.29149,19.2249
1237657190371689326,21.89077,20.81094,20.24664,19.95751,19.6689,21.78528,20.73333,20.19035,19.91483,19.63864
1237657190372016472,21.21947,20.1827,19.37616,19.0704,18.77113,21.1035,20.09738,19.31428,19.02348,18.73786
1237657190905872689,21.27512,20.40063,19.79676,19.5812,19.57911,21.09702,20.26958,19.70171,19.50913,19.52801
1237657190906397233,23.89273,22.33767,21.7486,21.54893,21.5809,23.7194,22.21013,21.6561,21.47879,21.53117
1237657190906593911,23.44649,22.43674,21.88725,21.54181,20.4267,23.2986,22.32792,21.80832,21.48196,20.38427
1237657190906921579,21.82536,20.72525,20.15347,19.91439,19.74862,21.68735,20.6237,20.07982,19.85855,19.70903
1237657190907773046,21.13296,19.27135,18.12848,17.66376,17.29963,20.98622,19.16337,18.05016,17.60438,17.25753
1237657190907904102,20.88169,19.78094,18.9882,18.64496,18.37874,20.74143,19.67774,18.91335,18.5882,18.3385
1237657190907904246,21.21754,20.38481,19.55673,19.1499,18.8019,21.09241,20.29273,19.48995,19.09926,18.766
1237657190908297506,21.68045,19.96248,18.62917,18.06813,17.68809,21.57744,19.88669,18.5742,18.02645,17.65854
1237657190908298083,24.31987,21.68211,20.46874,19.7265,19.51567,24.2153,21.60517,20.41294,19.68419,19.48567
1237657190908690822,22.16237,20.86697,20.42788,20.02896,19.8022,22.04824,20.783,20.36698,19.98278,19.76945
1237657190909346216,21.08905,19.94592,19.3544,18.99562,18.88455,20.97989,19.8656,19.29615,18.95145,18.85323
1237657190909411584,21.72347,20.3398,19.09112,18.61391,18.36682,21.6341,20.27404,19.04342,18.57775,18.34118
1237657190909673715,21.63662,20.46678,19.4404,18.96989,18.67229,21.51722,20.37893,19.37669,18.92157,18.63803
1237657190909673909,23.10154,22.07671,21.24492,20.88782,20.80721,22.98017,21.9874,21.18015,20.83871,20.77239
1237657191443530063,23.37985,21.89,21.3923,21.28857,21.88475,23.20653,21.76248,21.29981,21.21844,21.83503
1237657191445102966,23.93218,21.86042,20.69127,20.15152,19.91295,23.82129,21.77882,20.6321,20.10665,19.88113
1237657191445954792,21.81215,19.70981,18.39106,17.84189,17.39427,21.68409,19.61558,18.32271,17.79006,17.35753
1237657191980204184,20.6306,18.54151,17.36646,16.80276,16.44855,20.49008,18.43812,17.29147,16.7459,16.40823
1237657191980466833,22.94199,21.15197,20.69444,20.25058,20.24566,22.7997,21.04727,20.61851,20.193,20.20483
1237657191980728518,20.40722,19.46044,18.82449,18.55074,18.27085,20.27423,19.36259,18.75352,18.49693,18.2327
1237657192516354264,19.60284,18.50002,17.68002,17.23691,16.96841,19.45348,18.39012,17.60031,17.17647,16.92556
1237657192516419782,23.43244,20.43728,18.9488,18.4627,18.09211,23.27769,20.32342,18.86621,18.40008,18.04771
1237657584949723287,21.46133,19.85883,18.64575,18.14299,17.79061,21.29409,19.73577,18.5565,18.07531,17.74262
1237657584950379205,26.20011,20.96411,19.8693,19.35322,18.81222,26.02734,20.83699,19.77711,19.28331,18.76266
1237657586562105551,20.3017,19.05205,18.09062,17.59639,17.16113,19.92775,18.7769,17.89106,17.44507,17.05384
1237657587096027680,23.12828,21.14033,19.93612,19.44456,19.12699,22.91558,20.98383,19.82262,19.35849,19.06597
1237657587096092969,21.58828,20.58722,20.00669,19.65178,19.53268,21.4156,20.46016,19.91453,19.5819,19.48314
1237657587098583274,22.84307,20.57874,19.21448,18.70811,18.37222,22.57064,20.37829,19.06909,18.59787,18.29406
1237660024522604712,20.14281,18.25388,17.28321,16.71925,16.40145,19.79531,17.9982,17.09777,16.57863,16.30176
1237660024523915530,20.26437,18.70817,17.98708,17.53535,17.26886,19.87615,18.42253,17.77991,17.37825,17.15747
1237660241386078475,21.25789,19.86019,18.89245,18.39623,18.0531,20.79283,19.51801,18.64426,18.20804,17.91967
1237660241388437746,21.48123,19.38187,18.16841,17.56507,17.13941,20.62855,18.75448,17.71337,17.22003,16.89477
1237660241388438124,22.94953,21.00108,19.63407,18.99514,18.57836,22.15016,20.41291,19.20748,18.67167,18.34902
1237660241926226266,20.48172,19.48767,18.6375,18.2329,18.0262,19.99886,19.13238,18.37982,18.03751,17.88766
1237660339089899929,21.8895,20.08017,19.02557,18.55308,18.28141,21.51802,19.80684,18.82732,18.40276,18.17483
1237663204916789403,22.28846,20.35562,18.88226,18.34618,18.02206,22.16691,20.26619,18.81739,18.297,17.98718
1237663204917379236,19.85356,18.71478,17.99642,17.59304,17.3409,19.70574,18.60602,17.91753,17.53322,17.29849
1237663204918100104,20.94961,19.41747,18.50506,18.0266,17.7761,20.83746,19.33495,18.4452,17.98121,17.74393
1237663204918493723,23.01928,21.50809,20.29095,19.78649,19.47331,22.91983,21.43492,20.23788,19.74625,19.44478
1237663204919083897,21.67691,21.08749,20.25508,19.8919,19.70294,21.56532,21.00538,20.19553,19.84675,19.67092
1237663204919148757,21.61477,19.65402,18.32385,17.80452,17.44828,21.5014,19.57061,18.26336,17.75864,17.41575
1237663204919279814,20.54848,19.07584,18.16927,17.68261,17.38957,20.43653,18.99347,18.10953,17.63731,17.35745
1237663204919672933,21.03475,19.18577,17.96521,17.4726,17.13923,20.93474,19.11218,17.91184,17.43213,17.11054
1237663204919869697,21.18634,20.39455,19.93132,19.58184,19.28868,21.05712,20.29947,19.86236,19.52955,19.2516
1237663204919935202,21.09394,19.68036,18.46235,17.93611,17.56763,20.96699,19.58695,18.3946,17.88473,17.5312
