RA_ICRS|DE_ICRS|SDSS12|SDSS-ID|objID|Sp-ID|SpObjID|umag|e_umag|gmag|e_gmag|rmag|e_rmag|imag|e_imag|zmag|e_zmag|zsp|e_zsp
----------|----------|-------------------|--------------------|-------------------|---------------|-------------------|------|------|------|------|------|------|------|------|------|------|--------|--------
031.365357|-00.498299|J020527.68-002953.8|4874-301-2-0630-0745|1237666407382385385|4235-55451-0440|4768307143210889216|22.955| 0.737|22.296| 0.170|21.008| 0.084|21.284| 0.165|20.625| 0.316| 0.26830| 0.00003



003.249939|+00.248559|J001259.98+001454.8|2728-301-4-0435-0335|1237657191443530063|4217-55478-0992|4748192677945339904|23.380| 0.627|21.890| 0.077|21.392| 0.081|21.289| 0.103|21.885| 0.616| 0.12123| 0.00002




046.088571|-01.063102|J030421.25-010347.1|3388-301-1-0627-0266|1237660024523915530|709-52205-0041 | 798274340939393024|20.264| 0.106|18.708| 0.015|17.987| 0.012|17.535| 0.012|17.269| 0.034| 0.12449| 0.00001

020.406604|-00.977154|J012137.58-005837.7|4858-301-1-0491-0329|1237666338116927817|4228-55484-0252|4760374167370133504|21.276| 0.181|20.578| 0.046|20.037| 0.038|19.687| 0.042|19.507| 0.138| 0.16549| 0.00001





011.634362|+00.838163|J004632.24+005017.3|4128-301-5-0201-0198|1237663204919279814|3590-55201-0680|4042167669800759296|20.548| 0.105|19.076| 0.015|18.169| 0.010|17.683| 0.012|17.390| 0.029| 0.13060| 0.00002


055.497280|-00.782921|J034159.34-004658.5|4136-301-2-0188-0336|1237663237667553616|1157-52643-0217|1302725885064931328|21.056| 0.171|19.520| 0.021|18.789| 0.017|18.369| 0.024|18.020| 0.045| 0.12660| 0.00002

015.536069|-00.879657|J010208.65-005246.7|4858-301-1-0458-0268|1237666338114765068|4225-55455-0170|4756973927174696960|20.340| 0.129|18.501| 0.014|17.463| 0.008|17.014| 0.008|16.703| 0.021| 0.19139| 0.00003



042.633890|+00.807331|J025032.13+004826.3|7717-301-1-0614-0291|1237678617436487971|4241-55450-0877|4775182664280502272|20.471| 0.069|19.516| 0.016|18.902| 0.013|18.506| 0.013|18.346| 0.036| 0.19113| 0.00001


034.560627|+00.795944|J021814.55+004745.3|4874-301-5-0652-0186|1237666408994439354|4237-55478-0588|4770599625407787008|21.668| 0.260|19.910| 0.024|18.820| 0.015|18.318| 0.015|17.937| 0.034| 0.21313| 0.00002



024.900031|-00.757936|J013936.00-004528.5|4263-301-2-0282-0179|1237663783134560435|401-51788-0284 | 451563957967153152|20.467| 0.092|18.529| 0.010|17.337| 0.006|16.834| 0.006|16.439| 0.011| 0.16149| 0.00005





037.136501|-01.042827|J022832.76-010234.1|4136-301-1-0066-0177|1237663237122687153|3744-55209-0444|4215491384402702336|19.863| 0.068|18.687| 0.013|18.035| 0.010|17.706| 0.011|17.549| 0.034| 0.14482| 0.00003



034.759820|-00.272576|J021902.35-001621.2|4263-301-3-0348-0295|1237663783675756839|4237-55478-0392|4770545749338025984|21.598| 0.129|20.840| 0.032|19.873| 0.021|19.517| 0.022|19.196| 0.060| 0.28034| 0.00004






016.857066|+01.043710|J010725.69+010237.3|4263-301-6-0228-0284|1237663785278505244|3735-55209-0914|4205487477857382400|20.705| 0.116|19.231| 0.016|18.368| 0.012|17.934| 0.012|17.692| 0.030| 0.15442| 0.00003



